[huiminpay-merchant-service][${env:SERVER_PORT}]   2021-01-18 15:43:37,041   INFO   [main][:]   -   using logger: org.apache.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
[huiminpay-merchant-service][${env:SERVER_PORT}]   2021-01-18 15:43:37,048   INFO   [main][WelcomeLogoApplicationListener.java:63]   -   

 :: Dubbo Spring Boot (v2.7.1) : https://github.com/apache/incubator-dubbo-spring-boot-project
 :: Dubbo (v2.7.3) : https://github.com/apache/incubator-dubbo
 :: Discuss group : dev@dubbo.apache.org

[huiminpay-merchant-service][${env:SERVER_PORT}]   2021-01-18 15:43:37,051   INFO   [main][OverrideDubboConfigApplicationListener.java:68]   -   Dubbo Config was overridden by externalized configuration {dubbo.application.name=merchant-service, dubbo.application.qos-enable=false, dubbo.config.multiple=true, dubbo.consumer.check=false, dubbo.consumer.retries=-1, dubbo.consumer.timeout=3000, dubbo.protocol.name=dubbo, dubbo.protocol.port=20892, dubbo.registry.address=nacos://127.0.0.1:8848, dubbo.scan.base‐packages=com.huiminpay.merchant}
[huiminpay-merchant-service][${env:SERVER_PORT}]   2021-01-18 15:43:37,283   INFO   [main][PostProcessorRegistrationDelegate.java:330]   -   Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e2666312] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[huiminpay-merchant-service][${env:SERVER_PORT}]   2021-01-18 15:43:37,342   INFO   [pool-3-thread-1][AwaitingNonWebApplicationListener.java:140]   -    [Dubbo] Current Spring Boot Application is await...
[huiminpay-merchant-service][${env:SERVER_PORT}]   2021-01-18 15:43:37,917   INFO   [main][OverrideDubboConfigApplicationListener.java:68]   -   Dubbo Config was overridden by externalized configuration {dubbo.application.name=merchant-service, dubbo.application.qos-enable=false, dubbo.config.multiple=true, dubbo.consumer.check=false, dubbo.consumer.retries=-1, dubbo.consumer.timeout=3000, dubbo.protocol.name=dubbo, dubbo.protocol.port=20892, dubbo.registry.address=nacos://127.0.0.1:8848, dubbo.scan.base‐packages=com.huiminpay.merchant}
